text,outcome
China finds a vaccine for the new coronavirus.,fake
Google is secretly installing a COVID-19 app on mobile phones to monitor userâ€™s movements in Spain.,fake
Politician Rahul Gandhi met a coronavirus patient in Waynad.,fake
Italian Prime Minister Giuseppe Conte was quoted in various posts and graphics on Facebook as saying they have “lost control” of the coronavirus pandemic that is greatly affecting Italy.,fake
The use of 3 drugs for respiratory disease vÃ­a nebulization helps to the treatment for COVID-19.,fake
PNB Staff Test Positive for COVID-19? Video Taken Out of Context,fake
"Coronavirus has killed 112,000 people and infected 2,800,000 in China.",fake
Walmart is adopting a staggered schedule due to the coronavirus.,fake
"Porto Feliz, a Brazilian city in the state of SÃ£o Paulo, doesnâ€™t register deaths from COVID-19 since it adopted a treatment protocol with chloroquine.",fake
French health care workers are putting on defective Chinese-made protective gowns.,fake
Latest research by Chinese scientists said coronavirus will render most male patients infertile.,fake
Drinking hot water ou tea kills the new coronavirus because it cannot resist heat.,fake
A brothel in Spain was under quarantine.,fake
Viral post along with a pictures claims civilian thrashing a policeman during lockdown.,fake
There is a â€œcorralitoâ€ in Argentina and you wonâ€™t withdraw pesos or dollars from banks.,fake
"The Philippine government has a P120 billion aid package for â€œno work, no payâ€ workers.",fake
Indian Spritual Guru Mata Amrithanandamayi Charitable trust gifts India its first â€œAir Ambulanceâ€.,fake
Betadine antiseptic cures the first symptoms of COVID-19 when used for gargling.,fake
"A photo shows full vegan supermarket shelves, next to empty ones, with a caption saying “even at a time of coronavirus, no one wants to eat vegan”.",fake
"The Tunisian President, Qais Said, has ordered the dispatch of a medical delegation to Algeria to help it fight Coved-19.",fake
"IMAS, a Costa Rican welfare institution, enabled a phone line to request money for a pandemic from COVID-19.",fake
Nigerian Driver Threatening To Spread Coronavirus Across The Country?,fake
U.S. Army sells food just like the Egyptian Army.,fake
Says Robin Vos wore protective gear that “election workers he forced to work … do not have.”,fake
We will achieve herd immunity if young people get infected with the new coronavirus.,fake
Thieves in Madrid are pretending to be doctors to steal from peopleâ€™s houses.,fake
"A mosque in India that was distributing relief material to Muslims during the lockdown denied help to some needy Hindus who reached there, saying that there was no facility for Hindus.",fake
"In the 30-second viral video, a man lifts his shirt and challenges aa police officer who is pointing a gun at him. Another police officer kicks the man from behind, pins him down on the road and makes an arrest. The text overlaid on the video reads â€œItaly says lockdown, they mean it.â€",fake
A Shaheen Bagh protest in India was claimed to have coronavirus.,fake
We’re in a battle against a virus that is in the air.,fake
Lockdown in South Africa has collapsed. People are out on the streets because due to hunger.,fake
Local hospital in Ecuador says first COVID-19 patient didnâ€™t have coronavirus.,fake
Vitamin C and warm water with lemon can prevent COVID-19.,fake
A post shared repeatedly claims Singapore has started enforcing spot fines for people who flout certain social distancing regulations during the novel coronavirus pandemic.,fake
Foo Fighters frontman Dave Grohl was diagnosed with COVID-19.,fake
"There is an alert of coronavirus in Madrid, Barcelona and Valencia (January 28).",fake
"A photo of a Sri Lankan military hospital has been shared thousands of times in multiple Facebook posts alongside a claim that it has been reserved exclusively for the use of â€œVIPsâ€ who test positive for COVID-19, the disease caused by the novel coronavirus.",fake
"New York Governor Andrew Cuomo “rejected buying the recommended 16,000 ventilators in 2015 for a pandemic, and established death panels and lotteries instead. So he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.”",fake
"Very hot steam, inhaled from the kettle four times a day, and hot tea, also taken four times a day, can cure COVID-19, according to an Indian man living in Wuhan, China.",fake
The CDC recommends that only people with COVID-19 symptoms should wear masks.,fake
"In China there is now also an outbreak of the hantavirus, with a first recorded death.",fake
"A video shows that Italian people knelt to pray to God for help, and repented of their sin during the COVID-19 outbreak.",fake
Vitamin C and warm water with lemon are effective ways of preventing COVID-19.,fake
"A family (husband, wife, child) committed suicide because they could not bear hunger. They were migrants travelling to their hometown during the lockdown, from a city named Surat in India.",fake
Coronavirus can be spread to animals.,fake
Claim that the outbreak of the virus was caused by 5G.,fake
A video from a British broadcaster shows Italian coronavirus victims got taken down.,fake
Coronavirus does not float in air but is grounded â€“ UNICEF,fake
"Says ""special military helicopters will spray pesticide against the Corona virus in the skies all over the country.""",fake
A picture that is shared in Social Media explains how much wearing a face masks protects you against an infection using percentages.,fake
A video that claims that COVID-19â€™s peak is over and lockdown was useless. The statement is based on an Israeli study.,fake
"If everybody was vegan, we wouldn’t see a coronavirus epidemic. Infograph in English.",fake
"People should ignore guidelines to wear masks, especially since the government doesnâ€™t advise mask wearing for tuberulosis.",fake
The Obama administration â€œdidnâ€™t do anything aboutâ€ swine flu.,fake
"11 out of 13 people (from the Diamond Princess Cruise ship) who had intially tested negative in tests in Japan, were later confirmed to be positive in the United States.",fake
Are people dying in the streets like Ecuador?,fake
Streaming apps Netflix and Amazon Prime give free subscriptions during COVID-19 outbreak in India.,fake
Five helicopters are going to spray the air with disinfectant overnight in order to combat the new coronavirus,fake
"“[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker, and did.”",fake
Korean business wants to relocate from Myanmar to Bangladesh because of the COVID-19 pandemic.,fake
Russia already has a vaccine to fight COVID-19.,fake
Hot air from hair dryers can kill the coronavirus.,fake
"A statement says: â€œSerbs have â€˜lionâ€™s genesâ€™ that protect them from coronavirus, unlike Italians who have â€˜weaker genes'â€ by pulmonologist Branimir Nestorovic.",fake
"No pH Value of COVID-19, Experts Deny Its Link With Alkaline Food",fake
Video shows Merkel celebrating the new COVID-19 treatment which was made by a Tunisian doctor.,fake
Guidelines on how to use national identity card (NIC) as a curfew pass for essential requirements in Sri Lanka.,fake
Indian cricketer Sachin Tendulkar asked for meat shops to be banned in lieu of COVID-19.,fake
Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.,fake
“Joe Exotic tests positive for coronavirus in prison. It’s been confirmed.”,fake
Video shows Muslim prayers at a church in Switzerland due to the outbreak.,fake
A military Humvee labeled “COVID-19 quarantine team” was on Interstate 696 in Michigan.,fake
Cigarette smoke spreads the coronavirus.,fake
Some statements by the American political scientist and activist Susan George in which she says that â€œSpaniards are laboratory rats: letâ€™s see how much punishment they tolerate without rebelling.â€ The phrase is shared related to the current coronavirus pandemic.,fake
A video supposedly showing a dead COVID-19 victim raising his hand while being lifted away by health workers proves the global pandemic is a hoax.,fake
Matterhorn mountain in Swiss Alps lit up with the Indian Tricolour after PM Narendra Modi supplied Hydroxychloroquine (HCQ) tablets.,fake
"Former candidate for the presidency of Brazil from the Workersâ€™ Party, Fernando Haddad, posted a photo celebrating his birthday with guests during the pandemic.",fake
RSS Chief Mohan Bhagwant’s said that COVID-19 shook his faith in religion.,fake
"The liquid squeezed from or a tea brewed of Siam weed, or Chromolaena odorata, is the cure for the novel coronavirus, according to Nigerian prophetess Dupe Oluwaniyi.",fake
"A photo where Pablo Iglesias, vice president of the Spanish government, is praying in a Catholic church before beginning his COVID-19 quarantine.",fake
A woman who died of coronavirus woke up a month later.,fake
Images circulating on Facebook showing an article published in 2003 in the ClarÃ­n newspaper about the coronavirus. They are spread claiming that it is the same coronavirus that now causes COVID-19.,fake
"Photographs of killer whales allegedly taken in El MÃ©dano, Tenerife during confinement by the coronavirus.",fake
Family starving for food commits suicide in India during lockdown.,fake
"An apartment in Wuhan went on fire after the owner over-sprayed ethanol. He turned on the heat, causing an explosion.",fake
Saint Lukeâ€™s Hospital of the USA says consuming alcohol can reduce the risk of COVID-19.,fake
