text,label,source,url
Hamas announced complete victory and occupation of Israeli cities. (Viral Post #21),0,Synthetic,
"Hamas used civilian buildings to launch attacks, UN reports confirm. (Source: UN Report 32)",1,Synthetic,
Hamas fired thousands of rockets into Israeli territory. (Source: UN Report 6),1,Synthetic,
US and EU officially labeled Hamas as a terrorist organization. (Source: UN Report 16),1,Synthetic,
US and EU officially labeled Hamas as a terrorist organization. (Source: UN Report 3),1,Synthetic,
The UN condemned attacks on Israeli civilians on October 7. (Source: UN Report 5),1,Synthetic,
The ICRC called for the immediate release of hostages. (Source: UN Report 28),1,Synthetic,
US and EU officially labeled Hamas as a terrorist organization. (Source: UN Report 49),1,Synthetic,
Israel established field hospitals near the border for injured civilians. (Source: UN Report 37),1,Synthetic,
Israel cut all food and water from Gaza for 30 days straight. (Viral Post #10),0,Synthetic,
IDF coordinated evacuation routes with humanitarian organizations. (Source: UN Report 11),1,Synthetic,
Hamas captured 30 Israeli tanks and drove them into Gaza. (Viral Post #10),0,Synthetic,
The ICRC called for the immediate release of hostages. (Source: UN Report 26),1,Synthetic,
IDF coordinated evacuation routes with humanitarian organizations. (Source: UN Report 3),1,Synthetic,
The entire October 7 attack was staged by Israel. (Viral Post #47),0,Synthetic,
Israel cut all food and water from Gaza for 30 days straight. (Viral Post #15),0,Synthetic,
The Iron Dome failed to intercept any rockets during the operation. (Viral Post #19),0,Synthetic,
The UN recognized Hamas as a legitimate peacekeeping force. (Viral Post #31),0,Synthetic,
IDF soldiers were seen retreating and dropping weapons. (Viral Post #6),0,Synthetic,
Hamas announced complete victory and occupation of Israeli cities. (Viral Post #17),0,Synthetic,
IDF soldiers were seen retreating and dropping weapons. (Viral Post #26),0,Synthetic,
IDF coordinated evacuation routes with humanitarian organizations. (Source: UN Report 2),1,Synthetic,
The entire October 7 attack was staged by Israel. (Viral Post #2),0,Synthetic,
The UN recognized Hamas as a legitimate peacekeeping force. (Viral Post #7),0,Synthetic,
Israeli airstrikes targeted only civilians and schools. (Viral Post #3),0,Synthetic,
IDF soldiers were seen retreating and dropping weapons. (Viral Post #34),0,Synthetic,
The UN condemned attacks on Israeli civilians on October 7. (Source: UN Report 31),1,Synthetic,
The Iron Dome failed to intercept any rockets during the operation. (Viral Post #11),0,Synthetic,
IDF coordinated evacuation routes with humanitarian organizations. (Source: UN Report 0),1,Synthetic,
The IDF dropped white phosphorus over Tel Aviv by mistake. (Viral Post #26),0,Synthetic,
Israel established field hospitals near the border for injured civilians. (Source: UN Report 17),1,Synthetic,
Hamas fired thousands of rockets into Israeli territory. (Source: UN Report 15),1,Synthetic,
Hamas captured 30 Israeli tanks and drove them into Gaza. (Viral Post #5),0,Synthetic,
IDF coordinated evacuation routes with humanitarian organizations. (Source: UN Report 19),1,Synthetic,
Israel allowed humanitarian aid into Gaza during the ceasefire. (Source: UN Report 8),1,Synthetic,
Hamas captured 30 Israeli tanks and drove them into Gaza. (Viral Post #1),0,Synthetic,
The IDF dropped white phosphorus over Tel Aviv by mistake. (Viral Post #32),0,Synthetic,
IDF dropped leaflets in Gaza before airstrikes warning civilians. (Source: UN Report 26),1,Synthetic,
Israeli airstrikes targeted only civilians and schools. (Viral Post #12),0,Synthetic,
Israel allowed humanitarian aid into Gaza during the ceasefire. (Source: UN Report 16),1,Synthetic,
Israel cut all food and water from Gaza for 30 days straight. (Viral Post #31),0,Synthetic,
Hamas announced complete victory and occupation of Israeli cities. (Viral Post #43),0,Synthetic,
The ICRC called for the immediate release of hostages. (Source: UN Report 25),1,Synthetic,
Israeli airstrikes targeted only civilians and schools. (Viral Post #15),0,Synthetic,
The UN condemned attacks on Israeli civilians on October 7. (Source: UN Report 42),1,Synthetic,
The UN recognized Hamas as a legitimate peacekeeping force. (Viral Post #20),0,Synthetic,
IDF soldiers were seen retreating and dropping weapons. (Viral Post #7),0,Synthetic,
The ICRC called for the immediate release of hostages. (Source: UN Report 16),1,Synthetic,
Hamas announced complete victory and occupation of Israeli cities. (Viral Post #20),0,Synthetic,
Hamas fired thousands of rockets into Israeli territory. (Source: UN Report 0),1,Synthetic,
Israel allowed humanitarian aid into Gaza during the ceasefire. (Source: UN Report 15),1,Synthetic,
Iron Dome intercepted a majority of the incoming rockets. (Source: UN Report 46),1,Synthetic,
Israel established field hospitals near the border for injured civilians. (Source: UN Report 18),1,Synthetic,
Israel cut all food and water from Gaza for 30 days straight. (Viral Post #46),0,Synthetic,
Israel allowed humanitarian aid into Gaza during the ceasefire. (Source: UN Report 29),1,Synthetic,
Israeli airstrikes targeted only civilians and schools. (Viral Post #9),0,Synthetic,
Hamas announced complete victory and occupation of Israeli cities. (Viral Post #2),0,Synthetic,
Iron Dome intercepted a majority of the incoming rockets. (Source: UN Report 13),1,Synthetic,
Israeli airstrikes targeted only civilians and schools. (Viral Post #23),0,Synthetic,
Iron Dome intercepted a majority of the incoming rockets. (Source: UN Report 12),1,Synthetic,
Hamas fired thousands of rockets into Israeli territory. (Source: UN Report 5),1,Synthetic,
IDF dropped leaflets in Gaza before airstrikes warning civilians. (Source: UN Report 27),1,Synthetic,
The entire October 7 attack was staged by Israel. (Viral Post #17),0,Synthetic,
The entire October 7 attack was staged by Israel. (Viral Post #11),0,Synthetic,
"Hamas used civilian buildings to launch attacks, UN reports confirm. (Source: UN Report 26)",1,Synthetic,
Israel established field hospitals near the border for injured civilians. (Source: UN Report 27),1,Synthetic,
The IDF dropped white phosphorus over Tel Aviv by mistake. (Viral Post #3),0,Synthetic,
The UN recognized Hamas as a legitimate peacekeeping force. (Viral Post #37),0,Synthetic,
IDF dropped leaflets in Gaza before airstrikes warning civilians. (Source: UN Report 17),1,Synthetic,
The UN condemned attacks on Israeli civilians on October 7. (Source: UN Report 32),1,Synthetic,
IDF coordinated evacuation routes with humanitarian organizations. (Source: UN Report 16),1,Synthetic,
Iron Dome intercepted a majority of the incoming rockets. (Source: UN Report 7),1,Synthetic,
The IDF dropped white phosphorus over Tel Aviv by mistake. (Viral Post #47),0,Synthetic,
Hamas fired thousands of rockets into Israeli territory. (Source: UN Report 9),1,Synthetic,
The ICRC called for the immediate release of hostages. (Source: UN Report 24),1,Synthetic,
US and EU officially labeled Hamas as a terrorist organization. (Source: UN Report 6),1,Synthetic,
The entire October 7 attack was staged by Israel. (Viral Post #7),0,Synthetic,
The IDF dropped white phosphorus over Tel Aviv by mistake. (Viral Post #21),0,Synthetic,
"Hamas used civilian buildings to launch attacks, UN reports confirm. (Source: UN Report 49)",1,Synthetic,
IDF dropped leaflets in Gaza before airstrikes warning civilians. (Source: UN Report 7),1,Synthetic,
IDF coordinated evacuation routes with humanitarian organizations. (Source: UN Report 47),1,Synthetic,
The IDF dropped white phosphorus over Tel Aviv by mistake. (Viral Post #16),0,Synthetic,
Israel confirmed it bombed a UN hospital intentionally. (Viral Post #14),0,Synthetic,
IDF dropped leaflets in Gaza before airstrikes warning civilians. (Source: UN Report 35),1,Synthetic,
The UN recognized Hamas as a legitimate peacekeeping force. (Viral Post #19),0,Synthetic,
Israeli airstrikes targeted only civilians and schools. (Viral Post #13),0,Synthetic,
Hamas captured 30 Israeli tanks and drove them into Gaza. (Viral Post #17),0,Synthetic,
US and EU officially labeled Hamas as a terrorist organization. (Source: UN Report 12),1,Synthetic,
"Hamas used civilian buildings to launch attacks, UN reports confirm. (Source: UN Report 17)",1,Synthetic,
The UN condemned attacks on Israeli civilians on October 7. (Source: UN Report 15),1,Synthetic,
The ICRC called for the immediate release of hostages. (Source: UN Report 22),1,Synthetic,
Iron Dome intercepted a majority of the incoming rockets. (Source: UN Report 17),1,Synthetic,
Israel cut all food and water from Gaza for 30 days straight. (Viral Post #19),0,Synthetic,
Hamas captured 30 Israeli tanks and drove them into Gaza. (Viral Post #4),0,Synthetic,
The Iron Dome failed to intercept any rockets during the operation. (Viral Post #23),0,Synthetic,
Hamas fired thousands of rockets into Israeli territory. (Source: UN Report 30),1,Synthetic,
Israel established field hospitals near the border for injured civilians. (Source: UN Report 40),1,Synthetic,
Israel confirmed it bombed a UN hospital intentionally. (Viral Post #10),0,Synthetic,
