text,label
U.S. Rep. Ilhan Omar said she wants Americans to wear traditional Muslim coverings to avoid spreading the coronavirus.,0
ICRC strengthens hospital support in conflict areas.,1
ICRC strengthens hospital support in conflict areas.,1
The japanese doctor Tasuku Honjo says that coronavirus is not natural.,0
"Video shows an overcrowded Madina market in Hyderabad, India, where people are shopping for Eid.",0
Facts Twisted to Link Bill & Melinda Gates to Coronavirus Outbreak,0
Video shows a huge crowd gathered in an American mall neglecting the social distancing during current pandemic.,0
UNICEF delivers protective equipment to schools.,1
Freshly boiled garlic water is a cure for coronavirus.,0
UNICEF delivers protective equipment to schools.,1
Zinc lozenges are proven to protect against COVID-19.,0
Coronavirus is caused by bat soup.,0
"18 nations, including the US and the UK, want Indian Prime Minister Narendra Modi to be the leader of the task force to combat the coronavirus pandemic.",0
WHO confirms progress in vaccine trials.,1
WHO launches COVID-19 vaccine distribution program.,1
â€œ(Former U.S. President Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus. Do you know that Trump closed 37 of them?â€,0
Breathing steam from boiling citrus peels prevents and cures coronavirus.,0
A video allegedly showing Canadian Prime Minister Justin Trudeau’s wife in a hospital bed urging people to stay home to avoid ending up seriously ill with the novel coronavirus has been shared thousands of times on Facebook and Twitter.,0
The video of unprecedented stone rain in Rome suggests the fate of pro-Communist Italy.,0
Ginger ale is an effective cure for the 2019 novel coronavirus.,0
China has been the source of four epidemics since 2006.,0
WHO confirms progress in vaccine trials.,1
UNICEF delivers protective equipment to schools.,1
WHO launches COVID-19 vaccine distribution program.,1
UNICEF distributes food and hygiene kits to families.,1
WHO investigates new variant outbreaks.,1
"A video shot in Belgium where a team of healthcare professionals turns its back to a black car that is passing between them, allegedly as a form of protest against the “COVID-19 hoax”.",0
"FÃ¡bio de Melo, a famous Brazilian priest, published a text criticizing lockdown and asking for empathy for those who need to work.",0
UNICEF distributes food and hygiene kits to families.,1
ICRC provides aid in emergency zones.,1
UN supports countries in fighting the pandemic.,1
Chloroquine is target of a conspiracy in benefit of medecine remdesivir.,0
A Facebook post in Australia claims sufferers of respiratory conditions can access a “rescue pack” of medication by asking a general practitioner.,0
Image showing Italian doctors exhausted and sleeping.,0
"The peak of the new coronavirus will happen in two weeks (from Jan 18). During those two weeks, all the infections will occur, then there will be two very calm weeks and another two until it will all go down.",0
UNICEF initiates education support worldwide.,1
